longitude    latitude     depth_km        density_kgm3   
118.33333    -10.91667    1.210           1035.93        
118.33333    -10.91667    2.420           1035.93        
118.33333    -10.91667    3.630           1035.93        
118.41667    -10.91667    0.000           1036.05        
118.41667    -10.91667    1.231           1036.05        
118.41667    -10.91667    2.462           1036.05        
118.41667    -10.91667    3.694           1036.05        
118.50000    -10.91667    0.000           1036.06        
118.50000    -10.91667    1.244           1036.06        
118.50000    -10.91667    2.488           1036.06        
118.50000    -10.91667    3.732           1036.06        
118.58333    -10.91667    0.000           1035.57        
118.58333    -10.91667    1.172           1035.57        
118.58333    -10.91667    2.345           1035.57        
118.58333    -10.91667    3.517           1035.57        
118.66667    -10.91667    0.000           1035.69        
118.66667    -10.91667    1.186           1035.69        
118.66667    -10.91667    2.372           1035.69        
118.66667    -10.91667    3.558           1035.69        
118.75000    -10.91667    0.000           1036.42        
118.75000    -10.91667    1.292           1036.42        
118.75000    -10.91667    2.585           1036.42        
118.75000    -10.91667    3.877           1036.42        
118.83333    -10.91667    0.000           1037.02        
118.83333    -10.91667    1.026           1037.02        
118.83333    -10.91667    2.051           1037.02        
118.83333    -10.91667    3.077           1037.02        
118.83333    -10.91667    4.103           1037.02        
118.91667    -10.91667    0.000           1037.61        
118.91667    -10.91667    1.080           1037.61        
118.91667    -10.91667    2.159           1037.61        
118.91667    -10.91667    3.239           1037.61        
118.91667    -10.91667    4.319           1037.61        
119.00000    -10.91667    0.000           1037.73        
119.00000    -10.91667    1.094           1037.73        
119.00000    -10.91667    2.187           1037.73        
119.00000    -10.91667    3.281           1037.73        
119.00000    -10.91667    4.374           1037.73        
119.08333    -10.91667    0.000           1037.97        
119.08333    -10.91667    1.119           1037.97        
119.08333    -10.91667    2.239           1037.97        
119.08333    -10.91667    3.358           1037.97        
119.08333    -10.91667    4.477           1037.97        
119.16667    -10.91667    0.000           1037.50        
119.16667    -10.91667    1.076           1037.50        
119.16667    -10.91667    2.152           1037.50        
119.16667    -10.91667    3.229           1037.50        
119.16667    -10.91667    4.305           1037.50        
119.25000    -10.91667    0.000           1037.38        
119.25000    -10.91667    1.062           1037.38        
119.25000    -10.91667    2.125           1037.38        
119.25000    -10.91667    3.187           1037.38        
119.25000    -10.91667    4.249           1037.38        
119.33333    -10.91667    0.000           1037.38        
119.33333    -10.91667    1.062           1037.38        
119.33333    -10.91667    2.124           1037.38        
119.33333    -10.91667    3.186           1037.38        
119.33333    -10.91667    4.248           1037.38        
119.41667    -10.91667    0.000           1036.77        
119.41667    -10.91667    1.328           1036.77        
119.41667    -10.91667    2.655           1036.77        
119.41667    -10.91667    3.983           1036.77        
119.50000    -10.91667    0.000           1035.81        
119.50000    -10.91667    1.196           1035.81        
119.50000    -10.91667    2.393           1035.81        
119.50000    -10.91667    3.589           1035.81        
119.58333    -10.91667    0.000           1035.07        
119.58333    -10.91667    1.099           1035.07        
119.58333    -10.91667    2.198           1035.07        
119.58333    -10.91667    3.297           1035.07        
119.66667    -10.91667    0.000           1033.82        
119.66667    -10.91667    1.397           1033.82        
119.66667    -10.91667    2.794           1033.82        
119.75000    -10.91667    0.000           1032.66        
119.75000    -10.91667    1.175           1032.66        
119.75000    -10.91667    2.349           1032.66        
119.83333    -10.91667    0.000           1031.75        
119.83333    -10.91667    1.013           1031.75        
119.83333    -10.91667    2.027           1031.75        
119.91667    -10.91667    0.000           1031.75        
119.91667    -10.91667    1.015           1031.75        
119.91667    -10.91667    2.031           1031.75        
120.00000    -10.91667    0.000           1031.61        
120.00000    -10.91667    1.956           1031.61        
120.08333    -10.91667    0.000           1031.06        
120.08333    -10.91667    1.714           1031.06        
120.16667    -10.91667    0.000           1030.35        
120.16667    -10.91667    1.478           1030.35        
120.25000    -10.91667    0.000           1029.93        
120.25000    -10.91667    1.357           1029.93        
120.33333    -10.91667    0.000           1030.22        
120.33333    -10.91667    1.457           1030.22        
120.41667    -10.91667    0.000           1030.37        
120.41667    -10.91667    1.520           1030.37        
120.50000    -10.91667    0.000           1030.51        
120.50000    -10.91667    1.557           1030.51        
120.58333    -10.91667    0.000           1030.22        
120.58333    -10.91667    1.462           1030.22        
120.66667    -10.91667    0.000           1029.93        
120.66667    -10.91667    1.355           1029.93        
120.75000    -10.91667    0.000           1029.78        
120.75000    -10.91667    1.296           1029.78        
120.83333    -10.91667    0.000           1029.48        
120.83333    -10.91667    1.186           1029.48        
120.91667    -10.91667    0.000           1029.18        
120.91667    -10.91667    1.113           1029.18        
121.00000    -10.91667    0.000           1028.87        
121.00000    -10.91667    1.037           1028.87        
121.08333    -10.91667    0.000           1028.55        
121.08333    -10.91667    0.927           1028.55        
121.16667    -10.91667    0.000           1028.85        
121.16667    -10.91667    0.977           1028.85        
121.25000    -10.91667    0.000           1028.30        
121.25000    -10.91667    0.837           1028.30        
121.33333    -10.91667    0.000           1028.31        
121.33333    -10.91667    0.884           1028.31        
121.41667    -10.91667    0.000           1028.69        
121.41667    -10.91667    0.993           1028.69        
121.50000    -10.91667    0.000           1028.98        
121.50000    -10.91667    1.058           1028.98        
