longitude	latitude	depth
133.62500	-2.20833	0.00000
133.70833	-2.20833	0.00000
133.79167	-2.20833	0.00000
133.87500	-2.20833	0.00000
133.95833	-2.20833	0.00000
118.04167	-2.29167	1971.85645
118.12500	-2.29167	2144.48853
118.20833	-2.29167	2181.10547
118.29167	-2.29167	2152.37061
118.37500	-2.29167	2143.30957
118.45833	-2.29167	2046.71741
118.54167	-2.29167	1888.36719
118.62500	-2.29167	1832.88513
118.70833	-2.29167	1796.76099
118.79167	-2.29167	1748.57654
118.87500	-2.29167	1604.46851
118.95833	-2.29167	1335.09290
119.04167	-2.29167	724.15247
119.12500	-2.29167	115.55280
119.20833	-2.29167	0.00000
119.29167	-2.29167	0.00000
119.37500	-2.29167	0.00000
119.45833	-2.29167	0.00000
119.54167	-2.29167	0.00000
119.62500	-2.29167	0.00000
119.70833	-2.29167	0.00000
119.79167	-2.29167	0.00000
119.87500	-2.29167	0.00000
119.95833	-2.29167	0.00000
120.04167	-2.29167	0.00000
120.12500	-2.29167	0.00000
120.20833	-2.29167	0.00000
120.29167	-2.29167	0.00000
120.37500	-2.29167	0.00000
120.45833	-2.29167	0.00000
120.54167	-2.29167	0.00000
120.62500	-2.29167	0.00000
120.70833	-2.29167	0.00000
120.79167	-2.29167	0.00000
120.87500	-2.29167	0.00000
120.95833	-2.29167	0.00000
121.04167	-2.29167	0.00000
121.12500	-2.29167	0.00000
121.20833	-2.29167	0.00000
121.29167	-2.29167	0.00000
121.37500	-2.29167	0.00000
121.45833	-2.29167	0.00000
121.54167	-2.29167	0.00000
121.62500	-2.29167	0.00000
121.70833	-2.29167	0.00000
121.79167	-2.29167	0.00000
121.87500	-2.29167	290.52856
121.95833	-2.29167	636.40399
122.04167	-2.29167	945.72681
122.12500	-2.29167	1139.79187
122.20833	-2.29167	1107.46057
122.29167	-2.29167	1061.68726
122.37500	-2.29167	1054.63806
122.45833	-2.29167	1031.09290
122.54167	-2.29167	1276.73950
122.62500	-2.29167	1162.08362
122.70833	-2.29167	1414.97974
122.79167	-2.29167	1352.32190
122.87500	-2.29167	731.28253
122.95833	-2.29167	410.67407
123.04167	-2.29167	806.94794
123.12500	-2.29167	977.03046
123.20833	-2.29167	1814.52148
123.29167	-2.29167	2487.61157
123.37500	-2.29167	1299.86182
123.45833	-2.29167	1111.17200
123.54167	-2.29167	2140.31348
123.62500	-2.29167	2766.43433
123.70833	-2.29167	2982.99414
123.79167	-2.29167	3363.71997
123.87500	-2.29167	3706.99268
123.95833	-2.29167	3939.35669
124.04167	-2.29167	3848.15625
124.12500	-2.29167	3275.44482
124.20833	-2.29167	3198.54272
124.29167	-2.29167	2715.43848
124.37500	-2.29167	2475.86377
124.45833	-2.29167	2056.18091
124.54167	-2.29167	1894.78113
124.62500	-2.29167	2441.58545
124.70833	-2.29167	2533.42212
124.79167	-2.29167	2487.09033
124.87500	-2.29167	2314.62988
124.95833	-2.29167	2620.00977
125.04167	-2.29167	3154.59497
125.12500	-2.29167	2995.70557
125.20833	-2.29167	3276.71802
125.29167	-2.29167	3673.07397
125.37500	-2.29167	4336.55859
125.45833	-2.29167	4641.95020
125.54167	-2.29167	5176.70801
125.62500	-2.29167	5404.91797
125.70833	-2.29167	4925.91455
125.79167	-2.29167	2676.21021
125.87500	-2.29167	1329.83081
125.95833	-2.29167	0.00000
126.04167	-2.29167	523.57019
126.12500	-2.29167	2500.44482
126.20833	-2.29167	3825.78711
126.29167	-2.29167	3607.14136
126.37500	-2.29167	3242.81055
126.45833	-2.29167	3207.18506
126.54167	-2.29167	3001.86206
126.62500	-2.29167	2686.59619
126.70833	-2.29167	3195.99414
126.79167	-2.29167	3207.25220
126.87500	-2.29167	3752.72388
126.95833	-2.29167	3823.39355
127.04167	-2.29167	3708.48633
127.12500	-2.29167	3085.45947
127.20833	-2.29167	3196.06714
127.29167	-2.29167	3046.71924
127.37500	-2.29167	2786.38892
127.45833	-2.29167	2982.73315
127.54167	-2.29167	2861.39307
127.62500	-2.29167	2674.77686
127.70833	-2.29167	2840.06763
127.79167	-2.29167	3148.69580
127.87500	-2.29167	3646.36987
127.95833	-2.29167	3720.72632
128.04167	-2.29167	3967.49097
128.12500	-2.29167	4199.06738
128.20833	-2.29167	4138.28076
128.29167	-2.29167	3779.75830
128.37500	-2.29167	3322.07861
128.45833	-2.29167	3132.55786
128.54167	-2.29167	2719.93335
128.62500	-2.29167	2495.60156
128.70833	-2.29167	2284.43384
128.79167	-2.29167	2197.75659
128.87500	-2.29167	2044.40015
128.95833	-2.29167	1761.84570
129.04167	-2.29167	1361.00684
129.12500	-2.29167	791.98474
129.20833	-2.29167	550.77588
129.29167	-2.29167	1183.70642
129.37500	-2.29167	1310.04810
129.45833	-2.29167	1172.60376
129.54167	-2.29167	986.39575
129.62500	-2.29167	868.63293
129.70833	-2.29167	777.03400
129.79167	-2.29167	667.57007
129.87500	-2.29167	571.51062
129.95833	-2.29167	563.42889
130.04167	-2.29167	476.93076
130.12500	-2.29167	403.40564
130.20833	-2.29167	303.36661
130.29167	-2.29167	145.04955
130.37500	-2.29167	131.29532
130.45833	-2.29167	117.82447
130.54167	-2.29167	93.54585
130.62500	-2.29167	78.26267
130.70833	-2.29167	99.17472
130.79167	-2.29167	109.01702
130.87500	-2.29167	97.88126
130.95833	-2.29167	101.89725
131.04167	-2.29167	97.51523
131.12500	-2.29167	86.93798
131.20833	-2.29167	89.34702
131.29167	-2.29167	81.17422
131.37500	-2.29167	67.75610
131.45833	-2.29167	69.84728
131.54167	-2.29167	60.70981
131.62500	-2.29167	58.50110
131.70833	-2.29167	55.16538
131.79167	-2.29167	54.02204
131.87500	-2.29167	37.06974
131.95833	-2.29167	28.24512
132.04167	-2.29167	27.26646
132.12500	-2.29167	23.81377
132.20833	-2.29167	18.32997
132.29167	-2.29167	4.92983
132.37500	-2.29167	3.81089
132.45833	-2.29167	7.56343
132.54167	-2.29167	7.08255
132.62500	-2.29167	1.03080
132.70833	-2.29167	0.00000
132.79167	-2.29167	9.97690
132.87500	-2.29167	11.44068
132.95833	-2.29167	10.53710
133.04167	-2.29167	33.77804
133.12500	-2.29167	46.73174
133.20833	-2.29167	48.11569
133.29167	-2.29167	38.80185
133.37500	-2.29167	40.24589
133.45833	-2.29167	21.91280
133.54167	-2.29167	16.33305
133.62500	-2.29167	12.47781
133.70833	-2.29167	2.71168
133.79167	-2.29167	0.00000
133.87500	-2.29167	0.00000
133.95833	-2.29167	0.00000
118.04167	-2.37500	1706.54980
118.12500	-2.37500	2175.71704
118.20833	-2.37500	2178.92261
118.29167	-2.37500	2153.64331
118.37500	-2.37500	2122.91992
118.45833	-2.37500	2040.15552
118.54167	-2.37500	1933.24500
118.62500	-2.37500	1875.36877
118.70833	-2.37500	1801.72388
118.79167	-2.37500	1697.08667
118.87500	-2.37500	1564.43652
118.95833	-2.37500	1264.41479
119.04167	-2.37500	666.61304
119.12500	-2.37500	76.40128
119.20833	-2.37500	0.00000
119.29167	-2.37500	0.00000
