lon,lat,faa_mGal,depth,KoreksigB,DeltaGB_mGal
127.2083,-2.125,96.1569,-2204.68,-151.61964696796667,247.77654696796668
127.2917,-2.125,61.42,-2470.43,-169.89573292227166,231.31573292227165
127.375,-2.125,13.0385,-3038.63,-208.97182714329182,222.01032714329182
127.4583,-2.125,19.8061,-2772.49,-190.6689202161846,210.4750202161846
127.5417,-2.125,17.1607,-2736.39,-188.18626093885476,205.34696093885475
127.625,-2.125,-23.2177,-3446.12,-236.99561741806036,213.77791741806035
127.7083,-2.125,-52.6939,-3461.09,-238.02513014331322,185.33123014331323
127.7917,-2.125,-71.8862,-3550.68,-244.18638899804955,172.30018899804955
127.875,-2.125,-88.6598,-3670.76,-252.4444977521152,163.78469775211522
127.9583,-2.125,-113.4752,-3650.9,-251.07869129095812,137.60349129095812
128.0417,-2.125,-140.1161,-3740.74,-257.2571430769779,117.14104307697792
128.125,-2.125,-150.3129,-3819.78,-262.6928602315528,112.37996023155279
128.2083,-2.125,-152.2837,-3835.15,-263.74988164685914,111.46618164685913
128.2917,-2.125,-141.8971,-3719.26,-255.77992642110408,113.88282642110408
128.375,-2.125,-127.0476,-3409.14,-234.45243902261277,107.40483902261276
128.4583,-2.125,-106.6846,-3166.18,-217.74366068410686,111.05906068410685
128.5417,-2.125,-64.07,-2463.31,-169.40607823931907,105.33607823931908
128.625,-2.125,-27.339,-2038.57,-140.19597570599262,112.85697570599262
128.7083,-2.125,3.8361,-1442.68,-99.21559241601783,103.05169241601783
128.7917,-2.125,30.8995,-970.04,-66.71132424878276,97.61082424878276
128.875,-2.125,32.4619,-891.99,-61.34369110209037,93.80559110209037
128.9583,-2.125,30.3725,-940.82,-64.7018144403734,95.0743144403734
129.0417,-2.125,33.0075,-928.34,-63.84354331070368,96.85104331070369
129.125,-2.125,37.424,-783.14,-53.8578888212772,91.28188882127719
129.2083,-2.125,43.5962,-704.81,-48.47099959154734,92.06719959154734
129.2917,-2.125,53.0154,-707.63,-48.664935856424634,101.68033585642463
129.375,-2.125,64.2539,-448.2,-30.823487204965193,95.07738720496519
129.4583,-2.125,68.2511,-233.8,-16.07882933628037,84.32992933628037
129.5417,-2.125,79.6132,-106.31,-7.311122098973337,86.92432209897335
129.625,-2.125,74.2265,-244.56,-16.818813098719964,91.04531309871996
129.7083,-2.125,71.5424,-250.11,-17.200496173212507,88.7428961732125
129.7917,-2.125,67.7656,-173.34,-11.920890834691358,79.68649083469137
129.875,-2.125,61.6144,-171.63,-11.803291184712576,73.41769118471258
129.9583,-2.125,69.1535,-155.06,-10.663743699245655,79.81724369924565
130.0417,-2.125,66.6046,-118.4,-8.142572255840873,74.74717225584088
130.125,-2.125,67.4052,-81.21,-5.584951798115179,72.99015179811518
130.2083,-2.125,76.8216,-50.25,-3.4557791879730053,80.27737918797301
130.2917,-2.125,101.2924,-45.96,-3.1607484871490414,104.45314848714904
130.375,-2.125,67.7353,-36.51,-2.510855684634715,70.24615568463472
130.4583,-2.125,85.6097,-25.02,-1.7206685628474545,87.33036856284745
130.5417,-2.125,67.496,-52.6,-3.617392742037415,71.1133927420374
130.625,-2.125,60.8085,-68.76,-4.72874382019948,65.53724382019948
130.7083,-2.125,53.0359,-67.73,-4.657908943311675,57.69380894331167
130.7917,-2.125,58.2084,-64.36,-4.426148229610798,62.63454822961079
130.875,-2.125,56.9784,-47.89,-3.2934779166572583,60.27187791665726
130.9583,-2.125,52.1794,-60.26,-4.144184156562255,56.323584156562255
131.0417,-2.125,51.0403,-67.04,-4.610456452969359,55.65075645296936
