Longitude,Latitude,Gravity_mGal,Normal_Gravity_mGal,Height_m,KoreksigF,DeltaGF_mGal,KoreksigB,DeltaGB_mGal
118.375,-8.9583,978171.2667,978156.5597,-3.32,-1.024552,13.682448000053085,-0.3717195611438892,14.054167561196975
118.375,-8.875,978171.2667,978156.5597,-3.31,-1.021466,13.685534000053085,-0.37059992391152813,14.056133923964614
118.375,-8.7917,978210.6167,978154.2709,-3.28,-1.012208,55.33359200001006,-0.3672410122144448,55.7008330122245
118.375,-8.7083,978238.85,978149.7556,-3.3,-1.0183799999999998,88.07601999994357,-0.369480286679167,88.44550028662273
118.375,-8.625,978184.55,978147.5292,2.79,0.8609939999999999,37.88179400005662,0.3123787878287503,37.569415212227874
118.375,-8.5417,978184.55,978147.5292,27.64,8.529704,45.55050400005663,3.094677310246114,42.455826689810515
118.375,-8.4583,978208.3833,978143.139,309.12,95.394432,160.6387320000203,34.6102261267467,126.02850587327359
118.375,-8.375,978208.3833,978143.139,416.02,128.383772,193.6280720000203,46.57914814068699,147.0489238593333
118.375,-8.2917,978210.6667,978140.9752,-3.27,-1.0091219999999999,68.68237799995715,-0.3661213749820837,69.04849937493924
118.375,-8.2083,978131.8263,978136.7104,-3.27,-1.0091219999999999,-5.893222000024773,-0.3661213749820837,-5.5271006250426895
118.375,-8.125,978131.8263,978136.7104,-3.26,-1.006036,-5.890136000024773,-0.36500173774972255,-5.525134262275051
118.375,-8.0417,978101.5241,978134.6094,-3.26,-1.006036,-34.09133599991879,-0.36500173774972255,-33.72633426216907
118.4583,-8.9583,978174.1,978156.5597,-3.33,-1.027638,16.512661999993295,-0.37283919837625035,16.885501198369546
118.4583,-8.875,978174.1,978156.5597,249.09,76.869174,94.4094739999933,27.889043820882943,66.52043017911035
118.4583,-8.7917,978159.0,978154.2709,535.49,165.25221399999998,169.98131399999681,59.9554541557052,110.02585984429162
118.4583,-8.7083,978238.85,978149.7556,26.29,8.113093999999998,97.20749399994357,2.9435262838773637,94.2639677160662
118.4583,-8.625,978238.85,978149.7556,37.77,11.655822,100.75022199994356,4.228869826627921,96.52135217331565
118.4583,-8.5417,978262.6333,978147.5292,14.08,4.345088,119.44918799999684,1.576449223164446,117.87273877683239
118.4583,-8.4583,978095.0,978143.139,301.04,92.900944,44.76194400003352,33.70555924299892,11.0563847570346
118.4583,-8.375,978095.0,978143.139,713.19,220.09043400000002,171.95143400003354,79.85140777476217,92.10002622527138
118.4583,-8.2917,978190.5833,978140.9752,117.66,36.309875999999996,85.91797600007041,13.173651675960846,72.74432432410957
118.4583,-8.2083,978103.75,978136.7104,-3.28,-1.012208,-33.97260799998175,-0.3672410122144448,-33.605366987767304
118.4583,-8.125,978101.5241,978134.6094,-3.27,-1.0091219999999999,-34.09442199991879,-0.3661213749820837,-33.7283006249367
118.4583,-8.0417,978101.5241,978134.6094,-3.27,-1.0091219999999999,-34.09442199991879,-0.3661213749820837,-33.7283006249367
118.5417,-8.9583,978187.2333,978156.5597,-3.34,-1.030724,29.64287599998007,-0.37395883560861143,30.016834835588682
118.5417,-8.875,978187.2333,978156.5597,-3.33,-1.027638,29.64596199998007,-0.37283919837625035,30.01880119835632
118.5417,-8.7917,978191.2333,978154.2709,209.7,64.71342,101.67581999996032,23.47879276261252,78.19702723734781
118.5417,-8.7083,978095.25,978149.7556,292.22,90.179092,35.67349199996684,32.718039204056424,2.9554527959104178
118.5417,-8.625,978095.25,978149.7556,439.49,135.626614,81.12101399996683,49.20693672503852,31.914077274928317
118.5417,-8.5417,978236.1833,978147.5292,52.48,16.195328,104.8494280000434,5.875856195431116,98.97357180461229
118.5417,-8.4583,978066.1167,978143.139,606.93,187.29859799999997,110.27629800004672,67.95414254369297,42.322155456353755
118.5417,-8.375,978066.1167,978143.139,878.64,271.148304,194.12600400004675,98.37580578417676,95.75019821586999
118.5417,-8.2917,978010.4667,978140.9752,231.42,71.41621199999999,-59.09228799999629,25.910644831300857,-85.00293283129714
118.5417,-8.2083,978115.4048,978136.7104,-3.29,-1.015294,-22.320893999963307,-0.3683606494468059,-21.9525333505165
118.5417,-8.125,978109.7042,978134.6094,-3.28,-1.012208,-25.917407999921025,-0.3672410122144448,-25.55016698770658
118.5417,-8.0417,978109.7042,978134.6094,-3.28,-1.012208,-25.917407999921025,-0.3672410122144448,-25.55016698770658
118.625,-8.9583,978187.2333,978156.5597,-3.35,-1.03381,29.63978999998007,-0.37507847284097257,30.014868472821043
118.625,-8.875,978187.2333,978156.5597,-3.34,-1.030724,29.64287599998007,-0.37395883560861143,30.016834835588682
118.625,-8.7917,978191.2333,978154.2709,113.71,35.090906,72.05330599996032,12.731394969178206,59.32191103078211
118.625,-8.7083,978095.25,978149.7556,92.37,28.505382,-26.000218000033154,10.342089115319594,-36.342307115352746
118.625,-8.625,978095.25,978149.7556,137.06,42.296715999999996,-12.208884000033159,15.345747906741403,-27.55463190677456
118.625,-8.5417,978265.6,978147.5292,84.02,25.928572,143.99937199998678,9.407192026298064,134.5921799736887
118.625,-8.4583,978241.0833,978143.139,250.99,77.455514,175.39981400009015,28.101774895031554,147.2980391050586
118.625,-8.375,978241.0833,978143.139,516.88,159.509168,257.45346800009014,57.87180926628116,199.58165873380898
118.625,-8.2917,978010.4667,978140.9752,27.68,8.542048,-121.96645199999628,3.0991558591755584,-125.06560785917183
118.625,-8.2083,978113.8753,978136.7104,-3.3,-1.0183799999999998,-23.853480000025705,-0.369480286679167,-23.483999713346538
118.625,-8.125,978111.7612,978134.6094,-3.29,-1.015294,-23.863494000007638,-0.3683606494468059,-23.49513335056083
118.625,-8.0417,978111.7612,978134.6094,-3.29,-1.015294,-23.863494000007638,-0.3683606494468059,-23.49513335056083
118.7083,-8.9583,978164.8667,978156.5597,-3.36,-1.0368959999999998,7.270104000029803,-0.37619811007333365,7.646302110103137
118.7083,-8.875,978164.8667,978156.5597,-3.35,-1.03381,7.273190000029802,-0.37507847284097257,7.648268472870775
118.7083,-8.7917,978225.2833,978154.2709,10.2,3.1477199999999996,74.16012000000688,1.1420299770083344,73.01809002299855
118.7083,-8.7083,978130.7667,978149.7556,112.97,34.862542,15.87364200000335,12.648541813983483,3.2251001860198674
118.7083,-8.625,978130.7667,978149.7556,20.34,6.276923999999999,-12.711975999996648,2.277342130622502,-14.98931813061915
118.7083,-8.5417,978265.6,978147.5292,32.12,9.912232,127.98303199998678,3.596274790343892,124.38675720964288
118.7083,-8.4583,978241.0833,978143.139,-3.33,-1.027638,96.91666200009016,-0.37283919837625035,97.28950119846641
118.7083,-8.375,978241.0833,978143.139,-3.33,-1.027638,96.91666200009016,-0.37283919837625035,97.28950119846641
118.7083,-8.2917,978221.2333,978140.9752,-3.32,-1.024552,79.23354799997728,-0.3717195611438892,79.60526756112117
118.7083,-8.2083,978113.8753,978136.7104,-3.31,-1.021466,-23.856566000025705,-0.37059992391152813,-23.485966076114178
118.7083,-8.125,978111.7612,978134.6094,-3.31,-1.021466,-23.869666000007637,-0.37059992391152813,-23.49906607609611
118.7083,-8.0417,978111.7612,978134.6094,-3.3,-1.0183799999999998,-23.866580000007637,-0.369480286679167,-23.49709971332847
118.7917,-9.7083,978295.2,978178.0922,-4.78,-1.475108,115.63269199999795,-0.5351865970686116,116.16787859706656
118.7917,-9.625,978295.2,978178.0922,-4.44,-1.370184,115.73761599999796,-0.49711893116833383,116.23473493116629
118.7917,-9.5417,978289.6,978175.6171,-4.11,-1.268346,112.7145539999445,-0.46017090250041714,113.17472490244492
118.7917,-9.4583,978251.3333,978170.7286,-3.78,-1.1665079999999999,79.43819200002534,-0.42322287383250035,79.86141487385784
118.7917,-9.375,978251.3333,978170.7286,-3.44,-1.0615839999999999,79.54311600002534,-0.3851552079322226,79.92827120795756
118.7917,-9.2917,978217.2852,978168.3154,-3.11,-0.9597459999999999,48.01005400007897,-0.3482071792643059,48.35826117934328
118.7917,-8.9583,978178.0167,978156.5597,-3.37,-1.039982,20.417018000053087,-0.3773177473056948,20.794335747358783
118.7917,-8.875,978202.9667,978154.2709,-3.36,-1.0368959999999998,47.65890399998678,-0.37619811007333365,48.03510211006011
118.7917,-8.7917,978202.9667,978154.2709,363.28,112.10820799999999,160.80400799998677,40.67418137721448,120.12982662277228
118.7917,-8.7083,978227.05,978149.7556,-3.18,-0.981348,76.31305200001341,-0.3560446398908337,76.66909663990425
118.7917,-8.625,978203.1167,978147.5292,484.27,149.445722,205.03322200002327,54.220672251551576,150.8125497484717
118.7917,-8.5417,978203.1167,978147.5292,355.77,109.79062199999998,165.37812200002327,39.833333815711285,125.54478818431198
118.7917,-8.4583,978199.0833,978143.139,210.73,65.031278,120.97557800009015,23.594115397545714,97.38146260254445
118.7917,-8.375,978199.0833,978143.139,77.99,24.067714,80.01201400009015,8.732050775184312,71.27996322490583
